id	nev	osztaly
365	Nagy Balázs	9/C
366	Jenke Adrienn	9/C
367	Lehoczki Réka	9/C
368	Binszki Zoé	9/C
369	Kamarás Attila	9/A
370	Mezőlaki Bendegúz	9/C
371	Gyapjas László	9/B
372	Máté Martin	9/B
373	Kerekes Patrícia	9/A
374	Kónya Patrik	9/B
375	Csáki Márton	9/A
376	Gecse Dóra	9/B
377	Molnár Tünde	9/A
378	Rabi Máté	9/B
379	Garai Adél	9/A
380	Rádi Bianka	9/B
381	Pannonhalmi Martin	9/B
382	Kása Lilla	9/A
383	Varga Zsolt	9/B
384	Szűcs Mónika	9/C
385	Kun Tamás	9/B
386	Szabados Balázs	9/B
387	Szécsi Brigitta	9/A
388	Balázs Domonkos	9/C
389	Nagy Ákos	9/B
390	Dóka Dóra	9/C
391	Sisák Judit	9/B
392	Takács Lilla	9/A
393	Avas Márton	9/A
394	Gyimóth Patrik	9/B
395	Jónás László	9/B
396	Bróm Bettina	9/C
397	Gudmann Annamária	9/C
398	Kiss Noémi	9/C
399	Barna Zita	9/A
400	Dorogi Emese	9/C
401	Ajtósi Patrik	9/B
402	Lenkei Tamás	9/B
403	Zelei Melitta	9/A
404	Kelemen Zsófia	9/A
405	Szűcs Kornél	9/A
406	Rácz Flóra	9/B
407	Ódor Luca	9/A
408	Rádi Luca	9/A
409	Vastag Tibor	9/C
410	Kisteleki Igor	9/B
411	Antalics Dominika	9/A
412	Horváth Ferenc	9/B
413	Lengyel Ádám	9/B
414	Kozma Klaudia	9/B
415	Csizmadia Vivien	9/C
416	Reszegi Béla	9/A
417	Lénárt Sára	9/A
418	Bogdándi Dávid	9/B
419	Buzás György	9/A
420	Ridegh Anna	9/B
421	Koncz Béla	9/A
422	Kolozsvári Zsófia	9/C
423	Kiss Alexandra	9/C
424	Juhász Anasztázia	9/C
425	Molnár Alex	9/A
426	Berti Gergely	11/C
427	Újfalusi Zsófia	9/B
428	Németh Viktória	9/D
429	Vőneki Milán	10/B
